# Annotated with Bakta
# Software: v1.11.4
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	cds	53	2047	-	HENGBM_00001	1302.0	0.0	1.0	1.0	0.974	UniRef:UniRef90_K0CJU7
contig_1	cds	2092	2499	-	HENGBM_00002	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3W356
contig_1	cds	2577	3215	-	HENGBM_00003	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3W736
contig_1	cds	3307	3963	-	HENGBM_00004	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3W5W1
contig_1	cds	3963	5243	-	HENGBM_00005	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3ZHV5
contig_1	cds	5240	5827	-	HENGBM_00006	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3ZFK1
contig_1	cds	6085	6291	+	HENGBM_00007	-	-	-	-	-	-
contig_1	cds	6354	6749	-	HENGBM_00008	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3ZDP5
contig_1	cds	6761	7189	-	HENGBM_00009	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3ZGQ0
contig_1	cds	7417	8454	+	HENGBM_00010	676.0	1.3e-245	1.0	1.0	0.951	UniRef:UniRef90_K0CDW2
contig_1	cds	8683	9288	+	HENGBM_00011	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3W8C9
contig_1	cds	9299	10909	+	HENGBM_00012	1056.0	0.0	1.006	1.0	0.965	UniRef:UniRef90_K0CJV3
contig_1	cds	10927	11631	+	HENGBM_00013	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003B90DEE
contig_1	cds	11763	12461	-	HENGBM_00014	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003B8EE2F
contig_1	cds	12689	13921	+	HENGBM_00015	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003B81FEC
contig_1	cds	13999	14940	+	HENGBM_00016	570.0	1.8e-204	1.0	1.0	0.994	UniRef:UniRef90_K0CHH8
contig_1	cds	14951	16240	+	HENGBM_00017	808.0	7.0e-295	0.998	0.995	0.984	UniRef:UniRef90_K0CJV4
contig_1	cds	16240	17007	+	HENGBM_00018	485.0	6.9e-173	1.0	1.0	0.988	UniRef:UniRef90_K0CJD1
contig_1	cds	17007	17714	+	HENGBM_00019	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003B80235
contig_1	cds	17725	19341	+	HENGBM_00020	1051.0	0.0	1.0	1.0	0.970	UniRef:UniRef90_K0CDW7
contig_1	cds	19350	20549	+	HENGBM_00021	799.0	2.1e-292	1.0	1.0	0.992	UniRef:UniRef90_K0CHI0
contig_1	cds	20730	20960	-	HENGBM_00022	147.0	7.1e-45	0.947	1.0	0.972	UniRef:UniRef90_UPI0004792EE3
contig_1	cds	20945	21379	-	HENGBM_00023	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003B8BD3E
contig_1	cds	21456	21965	-	HENGBM_00024	333.0	5.1e-115	1.0	0.837	0.976	UniRef:UniRef90_UPI0035B510D1
contig_1	cds	21976	23385	-	HENGBM_00025	930.0	0.0	1.0	0.977	0.998	UniRef:UniRef90_UPI0006D5CCF9
contig_1	cds	23564	25429	-	HENGBM_00026	1246.0	0.0	1.0	1.0	0.992	UniRef:UniRef90_A0A9Q3ZDY6
contig_1	cds	25569	26801	-	HENGBM_00027	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0007A74131
contig_1	cds	27158	28303	-	HENGBM_00028	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003B8CCDF
contig_1	cds	28401	29489	-	HENGBM_00029	702.0	2.1e-255	1.0	1.0	0.972	UniRef:UniRef90_K0CGX4
contig_1	cds	29585	30214	-	HENGBM_00030	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3W7N4
contig_1	cds	30499	31011	+	HENGBM_00031	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3W3R2
contig_1	cds	31114	32328	-	HENGBM_00032	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3W749
contig_1	cds	32565	33482	-	HENGBM_00033	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3W824
contig_1	cds	33544	34302	-	HENGBM_00034	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q3W8K8
