# Annotated with Bakta
# Software: v1.11.4
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	53	2047	-	HENGBM_00001	mdoB	Alkaline phosphatase superfamily phosphoglycerol transferase-related protein	COG:COG1368, COG:M, SO:0001217, UniRef:UniRef50_A0A0B4XL04, UniRef:UniRef90_K0CJU7
contig_1	cds	2092	2499	-	HENGBM_00002	sspB	ClpXP protease specificity-enhancing factor	COG:COG2969, COG:O, RefSeq:WP_022996217.1, SO:0001217, UniParc:UPI0003B91C96, UniRef:UniRef100_A0A9Q3W356, UniRef:UniRef50_K0CJC4, UniRef:UniRef90_K0CJC4
contig_1	cds	2577	3215	-	HENGBM_00003	sspA	stringent starvation protein SspA	COG:COG0625, COG:O, GO:0005515, GO:0006749, RefSeq:WP_022996218.1, SO:0001217, UniParc:UPI0003B845C5, UniRef:UniRef100_A0A9Q3W736, UniRef:UniRef50_A0A2E2DB78, UniRef:UniRef90_K0CGU9
contig_1	cds	3307	3963	-	HENGBM_00004	cYT1	Ubiquinol-cytochrome c reductase cytochrome c1 subunit	COG:C, COG:COG2857, KEGG:K00413, RefSeq:WP_022996219.1, SO:0001217, UniParc:UPI0003B8D9FD, UniRef:UniRef100_A0A9Q3W5W1, UniRef:UniRef50_Q47VT6, UniRef:UniRef90_K0CDV8
contig_1	cds	3963	5243	-	HENGBM_00005	petB	Cytochrome b	COG:C, COG:COG1290, RefSeq:WP_022996220.1, SO:0001217, UniParc:UPI0003B87F83, UniRef:UniRef100_A0A9Q3ZHV5, UniRef:UniRef50_Q2KTS0, UniRef:UniRef90_K0CHH2
contig_1	cds	5240	5827	-	HENGBM_00006	petA	ubiquinol-cytochrome c reductase iron-sulfur subunit	COG:C, COG:COG0723, EC:7.1.1.8, GO:0008121, GO:0009055, GO:0009060, GO:0045275, KEGG:K00411, RefSeq:WP_022996221.1, SO:0001217, UniParc:UPI0003B8525E, UniRef:UniRef100_A0A9Q3ZFK1, UniRef:UniRef50_O31214, UniRef:UniRef90_K0CJU8
contig_1	cds	6085	6291	+	HENGBM_00007		hypothetical protein	
contig_1	cds	6354	6749	-	HENGBM_00008	rpsI	30S ribosomal protein S9	COG:COG0103, COG:J, GO:0003735, GO:0005840, GO:0006412, KEGG:K02996, RefSeq:WP_022996222.1, SO:0001217, UniParc:UPI0003B8929A, UniRef:UniRef100_A0A9Q3ZDP5, UniRef:UniRef50_P31782, UniRef:UniRef90_K0CJC5
contig_1	cds	6761	7189	-	HENGBM_00009	rplM	50S ribosomal protein L13	COG:COG0102, COG:J, GO:0003735, GO:0005840, GO:0006412, KEGG:K02871, RefSeq:WP_022996223.1, SO:0001217, UniParc:UPI0003B87557, UniRef:UniRef100_A0A9Q3ZGQ0, UniRef:UniRef50_Q8DMK8, UniRef:UniRef90_K0CGV4
contig_1	cds	7417	8454	+	HENGBM_00010	pdxI	NADP(H)-dependent aldo-keto reductase	COG:COG0667, COG:HR, GO:0047834, SO:0001217, UniRef:UniRef50_A0A4W5LRC7, UniRef:UniRef90_K0CDW2
contig_1	cds	8683	9288	+	HENGBM_00011	acrR	Transcriptional regulator, TetR family protein	COG:COG1309, COG:K, RefSeq:WP_022996225.1, SO:0001217, UniParc:UPI0003B8F8CC, UniRef:UniRef100_A0A9Q3W8C9, UniRef:UniRef50_K0CHH4, UniRef:UniRef90_K0CHH4
contig_1	cds	9299	10909	+	HENGBM_00012		Phytoene dehydrogenase and related protein	COG:COG1233, COG:Q, SO:0001217, UniRef:UniRef50_A0A1C9W4P7, UniRef:UniRef90_K0CJV3
contig_1	cds	10927	11631	+	HENGBM_00013	tesA	GDSL-like lipase/acylhydrolase domain protein	COG:COG2755, COG:DI, RefSeq:WP_022996227.1, SO:0001217, UniParc:UPI0003B90DEE, UniRef:UniRef100_UPI0003B90DEE, UniRef:UniRef50_K0CJC9, UniRef:UniRef90_K0CJC9
contig_1	cds	11763	12461	-	HENGBM_00014	gntR	GntR family transcriptional regulator	COG:COG1802, COG:K, RefSeq:WP_022996228.1, SO:0001217, UniParc:UPI0003B8EE2F, UniRef:UniRef100_UPI0003B8EE2F, UniRef:UniRef50_K0CGV8, UniRef:UniRef90_K0CGV8
